frame;text
1;O,ATTACKLW4,ATTACKLW4,oo
2;O,ATTACKLW4,ATTACKLW4,oo
3;O,ATTACKLW4,ATTACKLW4,2,oo
4;O,ATTACKLW4,ATTACKLW4,oo
5;O,ATTACKLW4,ATTACKLW4,400
6;O,ATTACKLW4,ATTACKLW4,s_,oo
7;O,ATTACKLW4,ATTACKLW4,_oo
8;O,ATTACKLW4,ATTACKLW4,_oo
9;O,ATTACKLW4,ATTACKLW4
10;O,ATTACKLW4,ATTACKLW4,_oo
11;O,ATTACKLW4,ATTACKLW4,10,00
12;O,ATTACKLW4,ATTACKLW4,11.00
13;O,ATTACKLW4,ATTACKLW4,12,00
14;O,ATTACKLW4,ATTACKLW4,13,00
15;O,ATTACKLW4,ATTACKLW4,14,00
16;O,ATTACKLW4,ATTACKLW4,15,00
17;O,ATTACKLW4,ATTACKLW4,1b,00
18;O,ATTACKLW4,ATTACKLW4,17,00
19;O,ATTACKLW4,ATTACKLW4,16,00
20;O,ATTACKLWY4,ATTACKLW4,19,00
21;O,ATTACKLW4,ATTACKLW4,20,00
22;O,ATTACKLW4,ATTACKLW4,el,_oo
23;O,ATTACKLW4,ATTACKLW4,e2_.oo
24;O,ATTACKLW4,ATTACKLW4,23,00
25;O,ATTACKLW4,ATTACKLW4,e4,oo
26;O,ATTACKLW4,ATTACKLW4,25,00
27;O,ATTACKLW4,ATTACKLW4,2b_00
28;O,ATTACKLW4,ATTACKLW4,e7,00
29;O,ATTACKLW4,ATTACKLW4,28,00
30;O,ATTACKLW4,ATTACKLW4,29,00
31;O,ATTACKLW4,ATTACKLW4,30,00
32;O,ATTACKLW4,ATTACKLW4,31,_oo
33;O,ATTACKLW4,ATTACKLW4,32,00
34;O,ATTACKLW4,ATTACKLW4,33,00
35;O,ATTACKLW4,ATTACKLW4,34,_o00
36;O,ATTACKLW4,ATTACKLW4,35,00
37;O,ATTACKLW4,ATTACKLW4,3b,_00
38;O,ATTACKLW4,ATTACKLW4,37,00
39;O,ATTACKLW4,ATTACKLW4,38,00
